animal_id,sex,latitude,longitude,timestamp,color_hex
164M,M,37.1562,-122.14343,28 Mar 2025 7:16 AM,#1976d2
164M,M,37.15705,-122.14382,28 Mar 2025 7:20 AM,#1976d2
164M,M,37.15741,-122.14465,28 Mar 2025 7:25 AM,#1976d2
164M,M,37.15752,-122.14542,28 Mar 2025 7:30 AM,#1976d2
164M,M,37.15666,-122.14667,28 Mar 2025 7:35 AM,#1976d2
164M,M,37.15647,-122.14669,28 Mar 2025 7:40 AM,#1976d2
164M,M,37.15653,-122.14669,28 Mar 2025 7:45 AM,#1976d2
164M,M,37.15651,-122.14669,28 Mar 2025 7:50 AM,#1976d2
164M,M,37.15631,-122.14674,28 Mar 2025 7:55 AM,#1976d2
164M,M,37.15632,-122.14674,28 Mar 2025 8:00 AM,#1976d2
164M,M,37.15639,-122.14656,28 Mar 2025 8:05 AM,#1976d2
164M,M,37.1563,-122.14661,28 Mar 2025 8:10 AM,#1976d2
164M,M,37.15615,-122.14714,28 Mar 2025 8:15 AM,#1976d2
164M,M,37.15644,-122.14681,28 Mar 2025 8:20 AM,#1976d2
164M,M,37.15626,-122.14681,28 Mar 2025 8:25 AM,#1976d2
164M,M,37.15656,-122.14668,28 Mar 2025 8:30 AM,#1976d2
164M,M,37.15662,-122.14669,28 Mar 2025 8:35 AM,#1976d2
164M,M,37.15633,-122.14682,28 Mar 2025 8:40 AM,#1976d2
164M,M,37.15622,-122.1468,28 Mar 2025 8:45 AM,#1976d2
164M,M,37.15634,-122.14668,28 Mar 2025 8:50 AM,#1976d2
164M,M,37.15622,-122.14675,28 Mar 2025 8:55 AM,#1976d2
164M,M,37.15628,-122.14669,28 Mar 2025 9:00 AM,#1976d2
164M,M,37.15637,-122.1467,28 Mar 2025 9:05 AM,#1976d2
164M,M,37.15631,-122.1467,28 Mar 2025 9:10 AM,#1976d2
164M,M,37.15638,-122.14677,28 Mar 2025 9:15 AM,#1976d2
164M,M,37.15609,-122.14668,28 Mar 2025 9:20 AM,#1976d2
164M,M,37.15656,-122.14681,28 Mar 2025 9:25 AM,#1976d2
164M,M,37.15604,-122.14673,28 Mar 2025 9:30 AM,#1976d2
164M,M,37.15631,-122.14663,28 Mar 2025 9:35 AM,#1976d2
164M,M,37.15638,-122.14662,28 Mar 2025 9:40 AM,#1976d2
164M,M,37.15619,-122.14659,28 Mar 2025 9:45 AM,#1976d2
164M,M,37.15639,-122.1468,28 Mar 2025 9:50 AM,#1976d2
164M,M,37.15635,-122.14664,28 Mar 2025 9:55 AM,#1976d2
164M,M,37.15638,-122.14662,28 Mar 2025 10:00 AM,#1976d2
164M,M,37.15647,-122.14669,28 Mar 2025 10:05 AM,#1976d2
164M,M,37.15625,-122.14669,28 Mar 2025 10:10 AM,#1976d2
164M,M,37.15625,-122.14655,28 Mar 2025 10:15 AM,#1976d2
164M,M,37.15634,-122.14664,28 Mar 2025 10:20 AM,#1976d2
164M,M,37.15633,-122.14667,28 Mar 2025 10:25 AM,#1976d2
164M,M,37.15637,-122.14674,28 Mar 2025 10:30 AM,#1976d2
164M,M,37.1562,-122.1465,28 Mar 2025 10:35 AM,#1976d2
164M,M,37.15625,-122.14665,28 Mar 2025 10:40 AM,#1976d2
164M,M,37.15634,-122.14669,28 Mar 2025 10:45 AM,#1976d2
164M,M,37.15628,-122.14671,28 Mar 2025 10:50 AM,#1976d2
164M,M,37.15631,-122.14663,28 Mar 2025 10:55 AM,#1976d2
164M,M,37.15633,-122.14667,28 Mar 2025 11:00 AM,#1976d2
164M,M,37.15632,-122.14671,28 Mar 2025 11:05 AM,#1976d2
164M,M,37.15624,-122.14672,28 Mar 2025 11:10 AM,#1976d2
164M,M,37.15629,-122.14676,28 Mar 2025 11:15 AM,#1976d2
164M,M,37.15621,-122.14676,28 Mar 2025 11:20 AM,#1976d2
164M,M,37.15628,-122.14669,28 Mar 2025 11:25 AM,#1976d2
164M,M,37.15625,-122.14671,28 Mar 2025 11:30 AM,#1976d2
164M,M,37.15629,-122.14669,28 Mar 2025 11:35 AM,#1976d2
164M,M,37.15625,-122.1468,28 Mar 2025 11:40 AM,#1976d2
164M,M,37.15634,-122.14657,28 Mar 2025 11:45 AM,#1976d2
164M,M,37.15626,-122.14671,28 Mar 2025 11:50 AM,#1976d2
164M,M,37.15636,-122.14665,28 Mar 2025 11:55 AM,#1976d2
164M,M,37.15627,-122.14665,28 Mar 2025 12:00 PM,#1976d2
164M,M,37.15635,-122.14665,28 Mar 2025 12:05 PM,#1976d2
164M,M,37.15623,-122.14666,28 Mar 2025 12:10 PM,#1976d2
164M,M,37.15639,-122.14678,28 Mar 2025 12:15 PM,#1976d2
164M,M,37.15629,-122.14667,28 Mar 2025 12:20 PM,#1976d2
164M,M,37.15641,-122.14685,28 Mar 2025 12:25 PM,#1976d2
164M,M,37.15633,-122.14678,28 Mar 2025 12:30 PM,#1976d2
164M,M,37.15626,-122.14671,28 Mar 2025 12:35 PM,#1976d2
164M,M,37.15636,-122.14682,28 Mar 2025 12:40 PM,#1976d2
164M,M,37.1564,-122.14685,28 Mar 2025 12:45 PM,#1976d2
164M,M,37.15634,-122.1467,28 Mar 2025 12:50 PM,#1976d2
164M,M,37.15639,-122.14676,28 Mar 2025 12:55 PM,#1976d2
164M,M,37.15636,-122.14674,28 Mar 2025 1:00 PM,#1976d2
164M,M,37.15648,-122.14661,28 Mar 2025 1:05 PM,#1976d2
164M,M,37.15639,-122.14668,28 Mar 2025 1:10 PM,#1976d2
164M,M,37.15601,-122.1469,28 Mar 2025 1:15 PM,#1976d2
164M,M,37.15618,-122.14666,28 Mar 2025 1:20 PM,#1976d2
164M,M,37.1564,-122.14667,28 Mar 2025 1:25 PM,#1976d2
164M,M,37.15632,-122.14667,28 Mar 2025 1:30 PM,#1976d2
164M,M,37.1564,-122.1467,28 Mar 2025 1:35 PM,#1976d2
164M,M,37.15621,-122.14686,28 Mar 2025 2:16 PM,#1976d2
164M,M,37.15629,-122.14675,28 Mar 2025 2:20 PM,#1976d2
164M,M,37.15635,-122.14667,28 Mar 2025 2:25 PM,#1976d2
164M,M,37.15632,-122.14674,28 Mar 2025 2:30 PM,#1976d2
164M,M,37.15627,-122.14676,28 Mar 2025 2:35 PM,#1976d2
164M,M,37.15627,-122.14674,28 Mar 2025 2:40 PM,#1976d2
164M,M,37.15605,-122.14705,28 Mar 2025 2:45 PM,#1976d2
164M,M,37.15633,-122.14671,28 Mar 2025 2:50 PM,#1976d2
164M,M,37.15632,-122.14671,28 Mar 2025 2:55 PM,#1976d2
164M,M,37.15623,-122.14678,28 Mar 2025 3:00 PM,#1976d2
164M,M,37.1562,-122.1468,28 Mar 2025 3:05 PM,#1976d2
164M,M,37.15633,-122.14674,28 Mar 2025 3:10 PM,#1976d2
164M,M,37.15619,-122.14698,28 Mar 2025 3:15 PM,#1976d2
164M,M,37.15628,-122.14679,28 Mar 2025 3:20 PM,#1976d2
164M,M,37.15637,-122.14675,28 Mar 2025 3:25 PM,#1976d2
164M,M,37.15649,-122.14644,28 Mar 2025 3:30 PM,#1976d2
164M,M,37.15627,-122.14692,28 Mar 2025 3:35 PM,#1976d2
164M,M,37.15629,-122.14684,28 Mar 2025 3:40 PM,#1976d2
164M,M,37.15636,-122.14677,28 Mar 2025 3:45 PM,#1976d2
164M,M,37.15634,-122.14675,28 Mar 2025 3:50 PM,#1976d2
164M,M,37.15621,-122.14693,28 Mar 2025 3:55 PM,#1976d2
164M,M,37.15636,-122.14674,28 Mar 2025 4:00 PM,#1976d2
164M,M,37.15627,-122.14681,28 Mar 2025 4:05 PM,#1976d2
164M,M,37.15615,-122.14677,28 Mar 2025 4:10 PM,#1976d2
164M,M,37.15631,-122.14677,28 Mar 2025 4:15 PM,#1976d2
164M,M,37.15629,-122.1467,28 Mar 2025 4:20 PM,#1976d2
164M,M,37.15636,-122.14676,28 Mar 2025 4:25 PM,#1976d2
164M,M,37.15625,-122.14684,28 Mar 2025 4:30 PM,#1976d2
164M,M,37.1564,-122.14663,28 Mar 2025 4:35 PM,#1976d2
164M,M,37.15629,-122.1468,28 Mar 2025 4:40 PM,#1976d2
164M,M,37.15659,-122.14687,28 Mar 2025 4:46 PM,#1976d2
164M,M,37.15635,-122.14693,28 Mar 2025 4:50 PM,#1976d2
164M,M,37.15636,-122.14665,28 Mar 2025 4:55 PM,#1976d2
164M,M,37.15634,-122.14675,28 Mar 2025 5:00 PM,#1976d2
164M,M,37.15634,-122.14674,28 Mar 2025 5:05 PM,#1976d2
164M,M,37.15633,-122.14671,28 Mar 2025 5:10 PM,#1976d2
164M,M,37.15631,-122.14663,28 Mar 2025 5:15 PM,#1976d2
164M,M,37.1563,-122.14664,28 Mar 2025 5:20 PM,#1976d2
164M,M,37.15624,-122.14666,28 Mar 2025 5:25 PM,#1976d2
164M,M,37.15636,-122.14671,28 Mar 2025 5:30 PM,#1976d2
164M,M,37.15632,-122.14671,28 Mar 2025 5:35 PM,#1976d2
164M,M,37.15632,-122.14676,28 Mar 2025 5:40 PM,#1976d2
164M,M,37.15626,-122.14674,28 Mar 2025 5:45 PM,#1976d2
164M,M,37.1562,-122.14672,28 Mar 2025 5:50 PM,#1976d2
164M,M,37.15618,-122.14668,28 Mar 2025 5:55 PM,#1976d2
