animal_id,sex,latitude,longitude,timestamp,color_hex
164M,M,37.16276,-122.00568,22 Dec 2024 10:00 AM,#1976d2
164M,M,37.16277,-122.00533,22 Dec 2024 10:00 PM,#1976d2
164M,M,37.15376,-122.00786,23 Dec 2024 2:00 PM,#1976d2
164M,M,37.15364,-122.00788,23 Dec 2024 6:00 PM,#1976d2
164M,M,37.15377,-122.00797,23 Dec 2024 10:00 PM,#1976d2
164M,M,37.10733,-122.01157,24 Dec 2024 6:00 PM,#1976d2
164M,M,37.10735,-122.01163,24 Dec 2024 10:00 PM,#1976d2
164M,M,37.09902,-122.08015,25 Dec 2024 10:00 AM,#1976d2
164M,M,37.09915,-122.08162,25 Dec 2024 2:00 PM,#1976d2
164M,M,37.09736,-122.08733,25 Dec 2024 6:00 PM,#1976d2
164M,M,37.12238,-122.10031,25 Dec 2024 10:00 PM,#1976d2
164M,M,37.14637,-122.11375,26 Dec 2024 2:00 AM,#1976d2
164M,M,37.15406,-122.11166,26 Dec 2024 2:00 PM,#1976d2
164M,M,37.15956,-122.10249,26 Dec 2024 6:00 PM,#1976d2
164M,M,37.15743,-122.09631,27 Dec 2024 2:00 PM,#1976d2
164M,M,37.15595,-122.09492,27 Dec 2024 6:00 PM,#1976d2
164M,M,37.14963,-122.08836,27 Dec 2024 10:00 PM,#1976d2
164M,M,37.16702,-122.07779,28 Dec 2024 2:00 AM,#1976d2
164M,M,37.16525,-122.09412,28 Dec 2024 6:00 AM,#1976d2
164M,M,37.16509,-122.08047,28 Dec 2024 2:00 PM,#1976d2
164M,M,37.16506,-122.08044,28 Dec 2024 6:00 PM,#1976d2
164M,M,37.15392,-122.12437,29 Dec 2024 6:00 AM,#1976d2
164M,M,37.13429,-122.11588,30 Dec 2024 2:00 AM,#1976d2
164M,M,37.15457,-122.10116,30 Dec 2024 10:00 AM,#1976d2
164M,M,37.15548,-122.09435,30 Dec 2024 2:00 PM,#1976d2
164M,M,37.15536,-122.09449,30 Dec 2024 6:00 PM,#1976d2
164M,M,37.15512,-122.09724,30 Dec 2024 10:00 PM,#1976d2
164M,M,37.15409,-122.08345,31 Dec 2024 2:00 AM,#1976d2
164M,M,37.15635,-122.06999,31 Dec 2024 6:00 AM,#1976d2
164M,M,37.14896,-122.06876,31 Dec 2024 10:00 AM,#1976d2
164M,M,37.1488,-122.06888,31 Dec 2024 2:00 PM,#1976d2
164M,M,37.14867,-122.06879,31 Dec 2024 6:00 PM,#1976d2
164M,M,37.14866,-122.06909,31 Dec 2024 10:00 PM,#1976d2
164M,M,37.12828,-122.0242,1 Jan 2025 2:00 PM,#1976d2
164M,M,37.10299,-121.98096,2 Jan 2025 2:00 AM,#1976d2
164M,M,37.10581,-121.97957,2 Jan 2025 6:00 AM,#1976d2
164M,M,37.10715,-121.97952,2 Jan 2025 10:00 AM,#1976d2
164M,M,37.10719,-121.9794,2 Jan 2025 2:00 PM,#1976d2
164M,M,37.10976,-121.97958,2 Jan 2025 10:00 PM,#1976d2
164M,M,37.07803,-122.01376,3 Jan 2025 10:00 AM,#1976d2
164M,M,37.07825,-122.01344,3 Jan 2025 2:00 PM,#1976d2
164M,M,37.07819,-122.01347,3 Jan 2025 6:00 PM,#1976d2
164M,M,37.081,-122.02081,3 Jan 2025 10:00 PM,#1976d2
164M,M,37.07682,-122.02807,4 Jan 2025 2:00 AM,#1976d2
164M,M,37.08016,-122.03839,4 Jan 2025 6:00 AM,#1976d2
164M,M,37.08054,-122.03954,4 Jan 2025 10:00 AM,#1976d2
164M,M,37.08048,-122.0396,4 Jan 2025 2:00 PM,#1976d2
164M,M,37.06387,-122.05284,4 Jan 2025 10:00 PM,#1976d2
164M,M,37.06093,-122.07536,5 Jan 2025 2:00 AM,#1976d2
164M,M,37.07904,-122.06827,5 Jan 2025 6:00 AM,#1976d2
164M,M,37.08505,-122.0671,5 Jan 2025 10:00 AM,#1976d2
164M,M,37.08484,-122.06687,5 Jan 2025 2:00 PM,#1976d2
164M,M,37.09031,-122.06784,5 Jan 2025 6:00 PM,#1976d2
164M,M,37.09595,-122.08926,5 Jan 2025 10:00 PM,#1976d2
164M,M,37.10826,-122.09995,6 Jan 2025 2:00 PM,#1976d2
164M,M,37.13237,-122.11229,6 Jan 2025 10:00 PM,#1976d2
164M,M,37.15182,-122.11755,7 Jan 2025 2:00 AM,#1976d2
164M,M,37.15499,-122.09299,7 Jan 2025 6:00 AM,#1976d2
164M,M,37.16553,-122.08029,7 Jan 2025 10:00 AM,#1976d2
164M,M,37.16705,-122.08083,7 Jan 2025 2:00 PM,#1976d2
164M,M,37.15829,-122.08712,7 Jan 2025 6:00 PM,#1976d2
164M,M,37.16655,-122.08255,7 Jan 2025 10:00 PM,#1976d2
164M,M,37.17821,-122.03433,8 Jan 2025 10:00 AM,#1976d2
164M,M,37.1782,-122.03441,8 Jan 2025 2:00 PM,#1976d2
164M,M,37.17588,-122.03063,8 Jan 2025 6:00 PM,#1976d2
164M,M,37.14958,-122.0106,9 Jan 2025 6:00 AM,#1976d2
164M,M,37.15167,-122.01111,9 Jan 2025 10:00 AM,#1976d2
164M,M,37.15174,-122.01112,9 Jan 2025 2:00 PM,#1976d2
164M,M,37.07826,-121.99404,10 Jan 2025 6:00 AM,#1976d2
164M,M,37.08505,-121.99725,10 Jan 2025 10:00 AM,#1976d2
164M,M,37.08516,-121.99703,10 Jan 2025 2:00 PM,#1976d2
164M,M,37.08443,-121.99703,10 Jan 2025 6:00 PM,#1976d2
164M,M,37.08536,-122.01706,10 Jan 2025 10:00 PM,#1976d2
164M,M,37.06229,-122.04217,11 Jan 2025 2:00 AM,#1976d2
164M,M,37.05811,-122.06939,11 Jan 2025 6:00 AM,#1976d2
164M,M,37.05658,-122.06813,11 Jan 2025 10:00 AM,#1976d2
164M,M,37.05614,-122.06722,11 Jan 2025 2:00 PM,#1976d2
164M,M,37.05848,-122.07082,11 Jan 2025 6:00 PM,#1976d2
164M,M,37.05544,-122.07338,11 Jan 2025 10:00 PM,#1976d2
164M,M,37.05427,-122.0728,12 Jan 2025 2:00 AM,#1976d2
