Seconds,R_Time,Lat,Long,Animal_ID,Sex,Step_m,Interval_s,Speed_kmh,Heading,State_Num
0,2025-03-28 07:16:00,37.1562,-122.14343,164M,M,0.0,0,0.0,5.93262,1
240,2025-03-28 07:20:00,37.15705,-122.14382,164M,M,100.6,240,1.5096,5.21079,3
540,2025-03-28 07:25:00,37.15741,-122.14465,164M,M,83.7,300,1.0049,4.88976,3
840,2025-03-28 07:30:00,37.15752,-122.14542,164M,M,69.3,300,0.8319,4.00026,3
1140,2025-03-28 07:35:00,37.15666,-122.14667,164M,M,146.3,300,1.7561,3.22529,3
1440,2025-03-28 07:40:00,37.15647,-122.14669,164M,M,21.2,300,0.2544,0.0,2
1740,2025-03-28 07:45:00,37.15653,-122.14669,164M,M,6.7,300,0.0801,3.14159,2
2040,2025-03-28 07:50:00,37.15651,-122.14669,164M,M,2.2,300,0.0267,3.33826,1
2340,2025-03-28 07:55:00,37.15631,-122.14674,164M,M,22.7,300,0.2721,0.0,2
2640,2025-03-28 08:00:00,37.15632,-122.14674,164M,M,1.1,300,0.0133,1.11684,1
2940,2025-03-28 08:05:00,37.15639,-122.14656,164M,M,17.7,300,0.213,3.55842,2
3240,2025-03-28 08:10:00,37.1563,-122.14661,164M,M,10.9,300,0.1313,4.37117,2
3540,2025-03-28 08:15:00,37.15615,-122.14714,164M,M,49.8,300,0.5981,0.73662,3
3840,2025-03-28 08:20:00,37.15644,-122.14681,164M,M,43.5,300,0.5224,3.14159,3
4140,2025-03-28 08:25:00,37.15626,-122.14681,164M,M,20.0,300,0.2402,0.33254,2
4440,2025-03-28 08:30:00,37.15656,-122.14668,164M,M,35.3,300,0.4235,6.15113,2
4740,2025-03-28 08:35:00,37.15662,-122.14669,164M,M,6.7,300,0.0808,3.48473,2
5040,2025-03-28 08:40:00,37.15633,-122.14682,164M,M,34.2,300,0.4109,2.99769,2
5340,2025-03-28 08:45:00,37.15622,-122.1468,164M,M,12.4,300,0.1483,0.6729,2
5640,2025-03-28 08:50:00,37.15634,-122.14668,164M,M,17.1,300,0.2048,3.57678,2
5940,2025-03-28 08:55:00,37.15622,-122.14675,164M,M,14.7,300,0.1766,0.6729,2
6240,2025-03-28 09:00:00,37.15628,-122.14669,164M,M,8.5,300,0.1024,6.19486,2
6540,2025-03-28 09:05:00,37.15637,-122.1467,164M,M,10.0,300,0.1206,3.14159,2
6840,2025-03-28 09:10:00,37.15631,-122.1467,164M,M,6.7,300,0.0801,5.61028,2
7140,2025-03-28 09:15:00,37.15638,-122.14677,164M,M,10.0,300,0.1194,2.89912,2
7440,2025-03-28 09:20:00,37.15609,-122.14668,164M,M,33.2,300,0.3986,6.06621,2
7740,2025-03-28 09:25:00,37.15656,-122.14681,164M,M,53.5,300,0.6422,3.01959,3
8040,2025-03-28 09:30:00,37.15604,-122.14673,164M,M,58.3,300,0.6991,0.28703,3
8340,2025-03-28 09:35:00,37.15631,-122.14663,164M,M,31.3,300,0.3756,0.11337,2
8640,2025-03-28 09:40:00,37.15638,-122.14662,164M,M,7.8,300,0.094,3.01641,2
8940,2025-03-28 09:45:00,37.15619,-122.14659,164M,M,21.3,300,0.2555,5.58638,2
9240,2025-03-28 09:50:00,37.15639,-122.1468,164M,M,29.0,300,0.348,1.87476,2
9540,2025-03-28 09:55:00,37.15635,-122.14664,164M,M,14.9,300,0.1783,0.48839,2
9840,2025-03-28 10:00:00,37.15638,-122.14662,164M,M,3.8,300,0.0453,5.72828,1
10140,2025-03-28 10:05:00,37.15647,-122.14669,164M,M,11.8,300,0.1413,3.14159,2
10440,2025-03-28 10:10:00,37.15625,-122.14669,164M,M,24.5,300,0.2936,1.5708,2
10740,2025-03-28 10:15:00,37.15625,-122.14655,164M,M,12.4,300,0.1489,5.61028,2
11040,2025-03-28 10:20:00,37.15634,-122.14664,164M,M,12.8,300,0.1536,4.31626,2
11340,2025-03-28 10:25:00,37.15633,-122.14667,164M,M,2.9,300,0.0346,5.33442,1
11640,2025-03-28 10:30:00,37.15637,-122.14674,164M,M,7.6,300,0.0916,2.29737,2
11940,2025-03-28 10:35:00,37.1562,-122.1465,164M,M,28.5,300,0.3415,5.10852,2
12240,2025-03-28 10:40:00,37.15625,-122.14665,164M,M,14.4,300,0.1729,5.94276,2
12540,2025-03-28 10:45:00,37.15634,-122.14669,164M,M,10.6,300,0.1274,3.40126,2
12840,2025-03-28 10:50:00,37.15628,-122.14671,164M,M,6.9,300,0.0828,1.13101,2
13140,2025-03-28 10:55:00,37.15631,-122.14663,164M,M,7.8,300,0.094,5.27268,2
13440,2025-03-28 11:00:00,37.15633,-122.14667,164M,M,4.2,300,0.0502,4.40843,2
13740,2025-03-28 11:05:00,37.15632,-122.14671,164M,M,3.7,300,0.0446,3.24089,1
14040,2025-03-28 11:10:00,37.15624,-122.14672,164M,M,8.9,300,0.1073,5.71558,2
14340,2025-03-28 11:15:00,37.15629,-122.14676,164M,M,6.6,300,0.0791,3.14159,2
14640,2025-03-28 11:20:00,37.15621,-122.14676,164M,M,8.9,300,0.1067,0.6729,2
14940,2025-03-28 11:25:00,37.15628,-122.14669,164M,M,10.0,300,0.1194,3.62999,2
15240,2025-03-28 11:30:00,37.15625,-122.14671,164M,M,3.8,300,0.0453,0.37921,1
15540,2025-03-28 11:35:00,37.15629,-122.14669,164M,M,4.8,300,0.0575,4.28434,2
15840,2025-03-28 11:40:00,37.15625,-122.1468,164M,M,10.7,300,0.1286,1.11439,2
16140,2025-03-28 11:45:00,37.15634,-122.14657,164M,M,22.7,300,0.2725,4.09036,2
16440,2025-03-28 11:50:00,37.15626,-122.14671,164M,M,15.3,300,0.1832,0.44605,2
16740,2025-03-28 11:55:00,37.15636,-122.14665,164M,M,12.3,300,0.1479,3.14159,2
17040,2025-03-28 12:00:00,37.15627,-122.14665,164M,M,10.0,300,0.1201,0.0,2
17340,2025-03-28 12:05:00,37.15635,-122.14665,164M,M,8.9,300,0.1067,3.20791,2
17640,2025-03-28 12:10:00,37.15623,-122.14666,164M,M,13.4,300,0.1605,5.74443,2
17940,2025-03-28 12:15:00,37.15639,-122.14678,164M,M,20.7,300,0.2487,2.42181,2
18240,2025-03-28 12:20:00,37.15629,-122.14667,164M,M,14.8,300,0.1775,5.40898,2
18540,2025-03-28 12:25:00,37.15641,-122.14685,164M,M,20.8,300,0.2496,2.53264,2
18840,2025-03-28 12:30:00,37.15633,-122.14678,164M,M,10.8,300,0.1301,2.46869,2
19140,2025-03-28 12:35:00,37.15626,-122.14671,164M,M,10.0,300,0.1194,5.5634,2
19440,2025-03-28 12:40:00,37.15636,-122.14682,164M,M,14.8,300,0.1775,5.74443,2
19740,2025-03-28 12:45:00,37.1564,-122.14685,164M,M,5.2,300,0.0622,2.03595,2
20040,2025-03-28 12:50:00,37.15634,-122.1467,164M,M,14.9,300,0.1785,5.52008,2
20340,2025-03-28 12:55:00,37.15639,-122.14676,164M,M,7.7,300,0.0923,2.6532,2
20640,2025-03-28 13:00:00,37.15636,-122.14674,164M,M,3.8,300,0.0453,0.71222,1
20940,2025-03-28 13:05:00,37.15648,-122.14661,164M,M,17.6,300,0.2115,3.6965,2
21240,2025-03-28 13:10:00,37.15639,-122.14668,164M,M,11.8,300,0.1413,3.5739,2
21540,2025-03-28 13:15:00,37.15601,-122.1469,164M,M,46.5,300,0.5584,0.84423,3
21840,2025-03-28 13:20:00,37.15618,-122.14666,164M,M,28.5,300,0.3415,6.24697,2
22140,2025-03-28 13:25:00,37.1564,-122.14667,164M,M,24.5,300,0.2937,3.14159,2
22440,2025-03-28 13:30:00,37.15632,-122.14667,164M,M,8.9,300,0.1067,5.99276,2
22740,2025-03-28 13:35:00,37.1564,-122.1467,164M,M,9.3,300,0.1114,3.73269,2
25200,2025-03-28 14:16:00,37.15621,-122.14686,164M,M,25.4,2460,0.0372,0.8311,1
25440,2025-03-28 14:20:00,37.15629,-122.14675,164M,M,13.2,240,0.198,0.81576,2
25740,2025-03-28 14:25:00,37.15635,-122.14667,164M,M,9.7,300,0.1168,4.21901,2
26040,2025-03-28 14:30:00,37.15632,-122.14674,164M,M,7.0,300,0.0845,3.4502,2
26340,2025-03-28 14:35:00,37.15627,-122.14676,164M,M,5.8,300,0.07,1.5708,2
26640,2025-03-28 14:40:00,37.15627,-122.14674,164M,M,1.8,300,0.0213,3.98488,1
26940,2025-03-28 14:45:00,37.15605,-122.14705,164M,M,36.8,300,0.4414,0.76902,2
27240,2025-03-28 14:50:00,37.15633,-122.14671,164M,M,43.3,300,0.5199,3.14159,3
27540,2025-03-28 14:55:00,37.15632,-122.14671,164M,M,1.1,300,0.0133,3.6965,1
27840,2025-03-28 15:00:00,37.15623,-122.14678,164M,M,11.8,300,0.1413,3.62999,2
28140,2025-03-28 15:05:00,37.1562,-122.1468,164M,M,3.8,300,0.0453,0.35248,1
28440,2025-03-28 15:10:00,37.15633,-122.14674,164M,M,15.4,300,0.1848,4.08056,2
28740,2025-03-28 15:15:00,37.15619,-122.14698,164M,M,26.4,300,0.3163,1.03455,2
29040,2025-03-28 15:20:00,37.15628,-122.14679,164M,M,19.6,300,0.2351,0.34043,2
29340,2025-03-28 15:25:00,37.15637,-122.14675,164M,M,10.6,300,0.1274,1.11865,2
29640,2025-03-28 15:30:00,37.15649,-122.14644,164M,M,30.5,300,0.3665,4.1905,2
29940,2025-03-28 15:35:00,37.15627,-122.14692,164M,M,49.1,300,0.5888,1.26684,3
30240,2025-03-28 15:40:00,37.15629,-122.14684,164M,M,7.4,300,0.0892,0.6729,2
