Seconds,R_Time,Lat,Long,Animal_ID,Sex,Step_m,Interval_s,Speed_kmh,Heading,State_Num
0,2024-12-22 10:00:00,37.16276,-122.00568,164M,M,0.0,0,0.0,1.53496,1
43200,2024-12-22 22:00:00,37.16277,-122.00533,164M,M,31.0,43200,0.0026,3.36177,1
100800,2024-12-23 14:00:00,37.15376,-122.00786,164M,M,1026.6,57600,0.0642,3.27366,2
115200,2024-12-23 18:00:00,37.15364,-122.00788,164M,M,13.5,14400,0.0034,5.77898,1
129600,2024-12-23 22:00:00,37.15377,-122.00797,164M,M,16.5,14400,0.0041,3.20334,1
201600,2024-12-24 18:00:00,37.10733,-122.01157,164M,M,5173.7,72000,0.2587,5.10829,2
216000,2024-12-24 22:00:00,37.10735,-122.01163,164M,M,5.8,14400,0.0014,4.56148,1
259200,2024-12-25 10:00:00,37.09902,-122.08015,164M,M,6146.8,43200,0.5122,4.82282,3
273600,2024-12-25 14:00:00,37.09915,-122.08162,164M,M,131.2,14400,0.0328,4.33793,1
288000,2024-12-25 18:00:00,37.09736,-122.08733,164M,M,544.1,14400,0.136,5.89098,2
302400,2024-12-25 22:00:00,37.12238,-122.10031,164M,M,3010.8,14400,0.7527,5.86321,3
316800,2024-12-26 02:00:00,37.14637,-122.11375,164M,M,2921.5,14400,0.7304,0.21332,3
360000,2024-12-26 14:00:00,37.15406,-122.11166,164M,M,874.9,43200,0.0729,0.92561,2
374400,2024-12-26 18:00:00,37.15956,-122.10249,164M,M,1017.1,14400,0.2543,1.97894,2
446400,2024-12-27 14:00:00,37.15743,-122.09631,164M,M,596.7,72000,0.0298,2.49903,1
460800,2024-12-27 18:00:00,37.15595,-122.09492,164M,M,205.6,14400,0.0514,2.45039,2
475200,2024-12-27 22:00:00,37.14963,-122.08836,164M,M,912.1,14400,0.228,0.45105,2
489600,2024-12-28 02:00:00,37.16702,-122.07779,164M,M,2148.6,14400,0.5372,4.57729,3
504000,2024-12-28 06:00:00,37.16525,-122.09412,164M,M,1460.3,14400,0.3651,1.58543,2
532800,2024-12-28 14:00:00,37.16509,-122.08047,164M,M,1209.7,28800,0.1512,2.46875,2
547200,2024-12-28 18:00:00,37.16506,-122.08044,164M,M,4.3,14400,0.0011,4.40456,1
590400,2024-12-29 06:00:00,37.15392,-122.12437,164M,M,4085.3,43200,0.3404,2.80955,2
662400,2024-12-30 02:00:00,37.13429,-122.11588,164M,M,2308.8,72000,0.1154,0.52444,2
691200,2024-12-30 10:00:00,37.15457,-122.10116,164M,M,2605.3,28800,0.3257,1.40464,2
705600,2024-12-30 14:00:00,37.15548,-122.09435,164M,M,611.9,14400,0.153,3.89065,2
720000,2024-12-30 18:00:00,37.15536,-122.09449,164M,M,18.2,14400,0.0046,4.60334,1
734400,2024-12-30 22:00:00,37.15512,-122.09724,164M,M,245.2,14400,0.0613,1.66417,2
748800,2024-12-31 02:00:00,37.15409,-122.08345,164M,M,1227.5,14400,0.3069,1.36309,2
763200,2024-12-31 06:00:00,37.15635,-122.06999,164M,M,1219.0,14400,0.3048,3.0097,2
777600,2024-12-31 10:00:00,37.14896,-122.06876,164M,M,828.9,14400,0.2072,3.68039,2
792000,2024-12-31 14:00:00,37.1488,-122.06888,164M,M,20.7,14400,0.0052,2.63735,1
806400,2024-12-31 18:00:00,37.14867,-122.06879,164M,M,16.5,14400,0.0041,4.6706,1
820800,2024-12-31 22:00:00,37.14866,-122.06909,164M,M,26.6,14400,0.0067,2.08826,1
878400,2025-01-01 14:00:00,37.12828,-122.0242,164M,M,4579.2,57600,0.2862,2.2034,2
921600,2025-01-02 02:00:00,37.10299,-121.98096,164M,M,4754.8,43200,0.3962,0.37455,2
936000,2025-01-02 06:00:00,37.10581,-121.97957,164M,M,336.9,14400,0.0842,0.02975,2
950400,2025-01-02 10:00:00,37.10715,-121.97952,164M,M,149.1,14400,0.0373,1.1749,1
964800,2025-01-02 14:00:00,37.10719,-121.9794,164M,M,11.5,14400,0.0029,6.22739,1
993600,2025-01-02 22:00:00,37.10976,-121.97958,164M,M,286.2,28800,0.0358,3.85161,1
1036800,2025-01-03 10:00:00,37.07803,-122.01376,164M,M,4651.7,43200,0.3876,0.85953,2
1051200,2025-01-03 14:00:00,37.07825,-122.01344,164M,M,37.5,14400,0.0094,3.52116,1
1065600,2025-01-03 18:00:00,37.07819,-122.01347,164M,M,7.2,14400,0.0018,5.15984,1
1080000,2025-01-03 22:00:00,37.081,-122.02081,164M,M,722.2,14400,0.1806,4.0873,2
1094400,2025-01-04 02:00:00,37.07682,-122.02807,164M,M,794.3,14400,0.1986,5.09782,2
1108800,2025-01-04 06:00:00,37.08016,-122.03839,164M,M,988.0,14400,0.247,5.10507,2
1123200,2025-01-04 10:00:00,37.08054,-122.03954,164M,M,110.4,14400,0.0276,3.81498,1
1137600,2025-01-04 14:00:00,37.08048,-122.0396,164M,M,8.5,14400,0.0021,3.70813,1
1166400,2025-01-04 22:00:00,37.06387,-122.05284,164M,M,2188.8,28800,0.2736,4.55034,2
1180800,2025-01-05 02:00:00,37.06093,-122.07536,164M,M,2024.8,14400,0.5062,0.30273,3
1195200,2025-01-05 06:00:00,37.07904,-122.06827,164M,M,2109.7,14400,0.5274,0.15407,3
1209600,2025-01-05 10:00:00,37.08505,-122.0671,164M,M,676.3,14400,0.1691,2.42349,2
1224000,2025-01-05 14:00:00,37.08484,-122.06687,164M,M,31.0,14400,0.0078,6.14266,1
1238400,2025-01-05 18:00:00,37.09031,-122.06784,164M,M,614.3,14400,0.1536,5.03134,2
1252800,2025-01-05 22:00:00,37.09595,-122.08926,164M,M,2000.7,14400,0.5002,5.6775,3
1310400,2025-01-06 14:00:00,37.10826,-122.09995,164M,M,1665.1,57600,0.1041,5.89577,2
1339200,2025-01-06 22:00:00,37.13237,-122.11229,164M,M,2895.6,28800,0.3619,6.07089,2
1353600,2025-01-07 02:00:00,37.15182,-122.11755,164M,M,2212.4,14400,0.5531,1.41012,3
1368000,2025-01-07 06:00:00,37.15499,-122.09299,164M,M,2205.0,14400,0.5512,0.76507,3
1382400,2025-01-07 10:00:00,37.16553,-122.08029,164M,M,1624.9,14400,0.4062,6.0073,2
1396800,2025-01-07 14:00:00,37.16705,-122.08083,164M,M,175.7,14400,0.0439,3.66137,1
1411200,2025-01-07 18:00:00,37.15829,-122.08712,164M,M,1122.3,14400,0.2806,0.41525,2
1425600,2025-01-07 22:00:00,37.16655,-122.08255,164M,M,1003.8,14400,0.2509,1.27591,2
1468800,2025-01-08 10:00:00,37.17821,-122.03433,164M,M,4464.8,43200,0.3721,4.55677,2
1483200,2025-01-08 14:00:00,37.1782,-122.03441,164M,M,7.2,14400,0.0018,2.22715,1
1497600,2025-01-08 18:00:00,37.17588,-122.03063,164M,M,422.7,14400,0.1057,2.59598,2
1540800,2025-01-09 06:00:00,37.14958,-122.0106,164M,M,3420.9,43200,0.2851,6.09109,2
1555200,2025-01-09 10:00:00,37.15167,-122.01111,164M,M,236.8,14400,0.0592,6.16981,2
1569600,2025-01-09 14:00:00,37.15174,-122.01112,164M,M,7.8,14400,0.002,2.95823,1
1627200,2025-01-10 06:00:00,37.07826,-121.99404,164M,M,8309.8,57600,0.5194,5.92255,3
1641600,2025-01-10 10:00:00,37.08505,-121.99725,164M,M,806.9,14400,0.2017,1.01092,2
1656000,2025-01-10 14:00:00,37.08516,-121.99703,164M,M,23.0,14400,0.0058,3.14159,1
1670400,2025-01-10 18:00:00,37.08443,-121.99703,164M,M,81.2,14400,0.0203,4.77063,1
1684800,2025-01-10 22:00:00,37.08536,-122.01706,164M,M,1779.8,14400,0.4449,3.85681,2
1699200,2025-01-11 02:00:00,37.06229,-122.04217,164M,M,3397.5,14400,0.8494,4.52242,3
1713600,2025-01-11 06:00:00,37.05811,-122.06939,164M,M,2459.7,14400,0.6149,2.56016,3
1728000,2025-01-11 10:00:00,37.05658,-122.06813,164M,M,203.6,14400,0.0509,2.11552,2
1742400,2025-01-11 14:00:00,37.05614,-122.06722,164M,M,94.4,14400,0.0236,5.39593,1
1756800,2025-01-11 18:00:00,37.05848,-122.07082,164M,M,412.0,14400,0.103,3.73331,2
1771200,2025-01-11 22:00:00,37.05544,-122.07338,164M,M,407.3,14400,0.1018,2.76487,2
1785600,2025-01-12 02:00:00,37.05427,-122.0728,164M,M,139.9,14400,0.035,0.39612,1
1814400,2025-01-12 10:00:00,37.07657,-122.06111,164M,M,2687.8,28800,0.336,5.86261,2
1828800,2025-01-12 14:00:00,37.07789,-122.06185,164M,M,160.8,14400,0.0402,5.63021,1
1843200,2025-01-12 18:00:00,37.08056,-122.06441,164M,M,373.8,14400,0.0934,5.24873,2
1857600,2025-01-12 22:00:00,37.09399,-122.09274,164M,M,2923.2,14400,0.7308,5.8704,3
1900800,2025-01-13 10:00:00,37.12563,-122.11012,164M,M,3841.0,43200,0.3201,4.90143,2
1915200,2025-01-13 14:00:00,37.12572,-122.11071,164M,M,53.3,14400,0.0133,0.19329,1
1944000,2025-01-13 22:00:00,37.12906,-122.10989,164M,M,378.4,28800,0.0473,6.14897,1
1958400,2025-01-14 02:00:00,37.1437,-122.11237,164M,M,1642.7,14400,0.4107,0.22551,2
1987200,2025-01-14 10:00:00,37.17298,-122.10394,164M,M,3340.4,28800,0.4175,3.89053,2
2001600,2025-01-14 14:00:00,37.17292,-122.10401,164M,M,9.1,14400,0.0023,1.96133,1
2030400,2025-01-14 22:00:00,37.16465,-122.07881,164M,M,2414.8,28800,0.3019,0.42754,2
2044800,2025-01-15 02:00:00,37.17752,-122.07145,164M,M,1572.7,14400,0.3932,0.67277,2
2059200,2025-01-15 06:00:00,37.17757,-122.0714,164M,M,7.1,14400,0.0018,3.9681,1
2073600,2025-01-15 10:00:00,37.17564,-122.07403,164M,M,316.8,14400,0.0792,4.10352,2
